0.290695,0.183446,0.156458
0.660164,0.499115,0.481505
0.274329,0.436115,0.635130
0.252255,0.352464,0.207036
0.464229,0.479886,0.730515
0.398669,0.762868,0.767150
0.689427,0.319598,0.077824
0.124147,0.260259,0.636994
0.684832,0.231899,0.326847
0.233069,0.135021,0.388362
0.586678,0.709165,0.273164
0.809310,0.593896,0.138183
0.018756,0.119515,0.452175
0.164153,0.478995,0.235323
0.572905,0.113078,0.125992
0.801373,0.715036,0.145039
0.672237,0.266871,0.615597
0.079987,0.552695,0.757562
0.681444,0.704120,0.727889
0.614036,0.647665,0.690417
0.513472,0.544915,0.595336
0.366435,0.390546,0.452677
0.193544,0.229106,0.270187
0.076764,0.088956,0.108105
